code,name,theme,source,freq,lastupdate,status
BM_ERCF,Taxa de câmbio - R$ / US$ - comercial - compra - fim período,Macroeconomic,Bacen/Boletim/BP,Yearly,2025-01-13,Active
BM_ERV,Taxa de câmbio - R$ / US$ - comercial - venda - média,Macroeconomic,Bacen/Boletim/BP,Yearly,2025-01-13,Active
BM_ERVF,Taxa de câmbio - R$ / US$ - comercial - venda - fim período,Macroeconomic,Bacen/Boletim/BP,Yearly,2025-01-13,Active
PAN_DEXT,Dívida externa bruta,Macroeconomic,Bacen/Boletim/BP,Yearly,2025-07-10,Active
BM12_CFCC12,Câmbio contratado - financeiro - compra,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-06-26,Active
BM12_ERC12,Taxa de câmbio - R$ / US$ - comercial - compra - média,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-07-01,Active
BM12_ERCF12,Taxa de câmbio - R$ / US$ - comercial - compra - fim período,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-07-01,Active
BM12_ERV12,Taxa de câmbio - R$ / US$ - comercial - venda - média,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-07-01,Active
BM12_ERVF12,Taxa de câmbio - R$ / US$ - comercial - venda - fim período,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-07-01,Active
BM12_MCC12,Câmbio contratado - comercial - importação,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-06-26,Active
BM12_SBCCC12,Câmbio contratado - comercial,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-06-26,Active
BM12_SFCC12,Câmbio contratado - financeiro,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-06-26,Active
BM12_SGCC12,Câmbio contratado - comercial e financeiro,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-06-26,Active
BM12_VFCC12,Câmbio contratado - financeiro - venda,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-06-26,Active
BM12_XCC12,Câmbio contratado - comercial - exportação,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-06-26,Active
PAN12_ERV12,Taxa de câmbio nominal,Macroeconomic,Bacen/Boletim/BP,Monthly,2025-07-01,Active
PAN4_ERV4,Taxa de câmbio nominal,Macroeconomic,Bacen/Boletim/BP,Quarterly,2025-07-01,Active
PAN_TJOVER,Taxa de juros nominal - Over / Selic,Macroeconomic,Bacen/Boletim/M. Finan.,Yearly,2024-12-31,Active
BM366_TJOVER366,Taxa de juros - Selic - fixada pelo Copom,Macroeconomic,Bacen/Boletim/M. Finan.,Daily,2025-07-15,Active
BM12_RNDPO12,Poupança - rentabilidade - depósitos a partir de 04.05.2012  (1º dia do mês),Macroeconomic,Bacen/Boletim/M. Finan.,Monthly,2025-07-02,Active
BM12_TJCDI12,Taxa de juros - CDI / Over - acumulada no mês,Macroeconomic,Bacen/Boletim/M. Finan.,Monthly,2025-07-15,Active
BM12_TJLP12,Taxa de juros - TJLP,Macroeconomic,Bacen/Boletim/M. Finan.,Monthly,2025-07-01,Active
BM12_TJOVER12,Taxa de juros - Over / Selic - acumulada no mês,Macroeconomic,Bacen/Boletim/M. Finan.,Monthly,2025-07-15,Active
BM12_TJTBF12,Taxa de juros - TBF - primeiro dia do mês,Macroeconomic,Bacen/Boletim/M. Finan.,Monthly,2025-07-02,Active
BM12_TJTR12,Taxa de juros - TR - primeiro dia do mês,Macroeconomic,Bacen/Boletim/M. Finan.,Monthly,2025-07-02,Active
PAN12_TJOVER12,Taxa de juros nominal - Over / Selic,Macroeconomic,Bacen/Boletim/M. Finan.,Monthly,2025-07-15,Active
BPAG4_DEX4,Dívida externa - Dívida externa bruta,Macroeconomic,Bacen/Dív. Ext.,Quarterly,2025-04-01,Active
BPAG4_DEXBC4,Dívida externa - Banco Central,Macroeconomic,Bacen/Dív. Ext.,Quarterly,2025-04-01,Active
BM_DEXGFN,DLSP - dívida externa líquida - governo federal e Banco Central,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Yearly,2025-01-31,Active
BM_DINGFN,DLSP - dívida interna líquida - governo federal e Banco Central,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Yearly,2025-02-03,Active
BM_DINSPN,DLSP - dívida interna líquida - total,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Yearly,2025-02-03,Active
BM_DPIPP,Dívida mobiliária interna federal - fora do BC - posição em carteira - fim de período,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Yearly,2024-06-05,Inactive
BM_DTGFN,DSLP - total - governo federal e Banco Central,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Yearly,2025-02-03,Active
BM_NFGFNN,NFSP - gov. federal e Banco Central - nominal - c/ desvalorização cambial - INATIVA,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Yearly,2010-03-18,Inactive
BM_NFSPPN,NFSP - setor público - primário - c/ desvalorização cambial - INATIVA,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Yearly,2010-03-18,Inactive
BM12_DEXEMN12,DLSP - dívida externa líquida - estados e municípios,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-02,Inactive
BM12_DEXSPN12,DLSP - dívida externa líquida - total,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-02,Inactive
BM12_DEXSPY12,DLSP - dívida externa líquida - total,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-02,Active
BM12_DIFISPN12,DLSP - Dívida Fiscal Líquida - fim de período,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-02,Inactive
BM12_DIFISPY12,DLSP - Dívida Fiscal Líquida - fim de período,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-11,Active
BM12_DINEMN12,DLSP - dívida interna líquida - estados e municípios,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-02,Inactive
BM12_DINGFY12,DLSP - dívida interna líquida - governo federal e Banco Central,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-11,Active
BM12_DINSPN12,DLSP - dívida interna líquida - total,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-02,Active
BM12_DINSPY12,DLSP - dívida interna líquida - total,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-11,Active
BM12_DTEEY12,DSLP -  total - empresas estatais,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_DTEMY12,DSLP -  total - estados e municípios,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_DTGFN12,DSLP - total - governo federal e Banco Central,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_DTGFY12,DSLP - total - governo federal e Banco Central,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-11,Active
BM12_DTSPY12,DSLP - total - setor público não-financeiro,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-11,Active
BM12_NFEMJNNS12,NFSP - estados e municípios - juros nominais - sem desvalorização cambial,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFEMJNYS12,NFSP - estados e municípios - juros nominais - sem desvalorização cambial - acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFEMNYS12,NFSP - estados e municípios - nominal - sem desvalorização cambial - acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFEMPNS12,NFSP - estados e municípios - primário - sem desvalorização cambial,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFEMPYS12,NFSP - estados e municípios - primário - sem desvalorização cambial - acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFGFJNNS12,NFSP - governo federal e Banco Central - juros nominais - sem desvalorização cambial,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFGFJNYS12,NFSP - governo federal e Banco Central - juros nominais - sem desvalorização cambial - acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFGFNYS12,NFSP - governo federal e Banco Central - nominal - sem desvalorização cambial - acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Inactive
BM12_NFGFPNS12,NFSP - governo federal e Banco Central - primário  - sem desvalorização cambial,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_NFGFPYS12,NFSP - governo federal e Banco Central - primário - sem desvalorização cambial - acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_NFSPJNYS12,NFSP - setor público - juros nominais - sem desvalorização cambial - fluxo acumulado em 12meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-11,Active
BM12_NFSPNNAS12,NFSP - setor público - resultado nominal - sem desvalorização cambial - fluxo acumulado em 12meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_NFSPNYS12,NFSP - setor público - resultado nominal - sem desvalorização cambial - fluxo acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_NFSPPNAS12,NFSP - setor público - resultado primário - sem desvalorização cambial - fluxo acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_NFSPPNS12,NFSP - setor público -resultado primário - sem desvalorização cambial - fluxo mensal corrente,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_NFSPPYS12,NFSP - setor público - resultado primário - sem desvalorização cambial - fluxo acumulado em 12 meses,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_NTNFBC12,Dívida mobiliária (Saldos) - títulos do Tesouro Nacional - posição em carteira - NTN,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
BM12_TPFIPMA12,Dívida mobiliária federal - participação indexador - posição custódia explicitando operações de  mercado aberto - índices de preço,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-05-28,Inactive
BM12_TPFOVERMA12,Dívida mobiliária federal - participação indexador - posição custódia explicitando operações de  mercado aberto - taxa Selic,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-06-30,Active
PAN12_DTSPY12,Dívida pública total,Macroeconomic,Bacen/Notas Imprensa/F. Púb.,Monthly,2025-07-11,Active
